screen_seq,record_id,doi,arxiv_id,title,authors,year,venue,venue_tier,lineages,screen_score,abstract_available,decision,reason_code,note,lineage_final,screened_utc,screener
11,doi:10.1016/j.ymssp.2019.106587,10.1016/j.ymssp.2019.106587,,Applications of machine learning to machine fault diagnosis: A review and roadmap,Yaguo Lei; Bin Yang; Xinwei Jiang; Feng Jia; Naipeng Li; Asoke K. Nandi,2020,Mechanical Systems and Signal Processing,C,L10_cross_robot_few_shot; L11_active_diagnosis; L2_manipulator_actuator_sensor_fdi; L4_structured_chain_graph_dynamics,20.5,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Lei et al. ML fault diagnosis review (rotating machinery); framing background only,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
12,doi:10.1016/j.heliyon.2023.e13359,10.1016/j.heliyon.2023.e13359,,"Towards next generation digital twin in robotics: Trends, scopes, challenges, and future",Arif Hossain Mazumder; M.F. Sahed; Zinat Tasneem; Prangon Das; Faisal R. Badal; Md. Firoj Ali; Md. Hafiz Ahamed; Shinu Abhi; Subrata K. Sarker; Sumit Kumar Das; Md Mehedi Hasan; Md Munjurul Islam; Md. Robiul Islam,2023,Heliyon,other,L10_cross_robot_few_shot; L2_manipulator_actuator_sensor_fdi; L8_public_benchmarks_transfer; L9_foundation_multimodal,20.0,true,EXCLUDE,SURVEY_TANGENTIAL,Digital-twin-in-robotics survey; no fault/anomaly method content,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
13,doi:10.1007/s10846-021-01317-1,10.1007/s10846-021-01317-1,,Fault Tolerant Control and Reconfiguration of Mobile Manipulator,Vitalram Rayankula; Pushparaj Mani Pathak,2021,Journal of Intelligent &amp; Robotic Systems,other,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,19.583,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"FTC/reconfiguration of mobile manipulator; control-centric, detection secondary",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
14,doi:10.1038/s41598-024-79151-2,10.1038/s41598-024-79151-2,,Deep learning based approaches for intelligent industrial machinery health management and fault diagnosis in resource-constrained environments,Ali Saeed; Muazzam A. Khan; Usman Akram; Waeal J. Obidallah; Soyiba Jawed; Awais Ahmad,2025,Scientific Reports,other,L10_cross_robot_few_shot; L11_active_diagnosis; L2_manipulator_actuator_sensor_fdi; L4_structured_chain_graph_dynamics,19.5,true,EXCLUDE,PROCESS_MACHINERY_ONLY,Generic industrial machinery health management; not manipulator-specific,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
15,doi:10.1109/iros47612.2022.9981767,10.1109/iros47612.2022.9981767,,Collision detection and identification for a legged manipulator,Jessie Van Dam; Andreea Tulbure; Maria Vittoria Minniti; Firas Abi-Farraj; Marco Hutter,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),R,L6_contact_collision_localization; L_killer_precision,19.234,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,"Collision detection+identification for legged manipulator; L6, floating-base variant of our question",L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
16,doi:10.1007/s10845-023-02165-6,10.1007/s10845-023-02165-6,,Fault diagnosis and self-healing for smart manufacturing: a review,Joma Aldrini; Inès Chihi; Lilia Sidhom,2023,Journal of Intelligent Manufacturing,other,L10_cross_robot_few_shot; L11_active_diagnosis; L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant,19.0,true,EXCLUDE,SURVEY_TANGENTIAL,Smart-manufacturing fault diagnosis/self-healing review; too broad,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
17,doi:10.1186/s42400-021-00077-7,10.1186/s42400-021-00077-7,,"A critical review of intrusion detection systems in the internet of things: techniques, deployment strategy, validation strategy, attacks, public datasets and challenges",Ansam Khraisat; Ammar Alazab,2021,Cybersecurity,other,L10_cross_robot_few_shot; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,19.0,true,EXCLUDE,NOT_ROBOT_DOMAIN,IoT intrusion detection review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
18,doi:10.3390/s21196340,10.3390/s21196340,,A Survey on AI-Driven Digital Twins in Industry 4.0: Smart Manufacturing and Advanced Robotics,Ziqi Huang; Yang Shen; Jiayi Li; Marcel Fey; Christian Brecher,2021,Sensors,MDPI,L10_cross_robot_few_shot; L4_structured_chain_graph_dynamics; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal,19.0,true,EXCLUDE,SURVEY_TANGENTIAL,AI digital-twin survey (MDPI); off-question,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
19,doi:10.1504/ijdsss.2021.114560,10.1504/ijdsss.2021.114560,,Fault detection and isolation using sliding mode observers with sensor fault in robot manipulator,Khaoula Oulidi Omali; Mohammed Nabil Kabbaj; Mohammed Benbrahim,2021,International Journal of Digital Signals and Smart Systems,other,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,18.832,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Sliding-mode observer FDI for manipulator sensor faults; classic model-based line, weak venue",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
20,doi:10.23919/ccc55666.2022.9901736,10.23919/ccc55666.2022.9901736,,Fixed-Time Fault-Tolerant Sliding Mode Control for Robot Manipulator,Rong Cheng; Lizhen Li; Haoyun Li; Songsong Cheng; Xiaohan Fang; Yuan Fan,2022,2022 41st Chinese Control Conference (CCC),other,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,18.832,true,EXCLUDE,OFF_TOPIC_OTHER,Fixed-time FTC controller synthesis; no detection/diagnosis contribution,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
21,doi:10.1109/icrca64997.2025.11011097,10.1109/icrca64997.2025.11011097,,Fault Model Establishment and Hybrid Neural Network Diagnosis for Manipulator,Yongbo Chen; Zhang Ting,2025,"2025 9th International Conference on Robotics, Control and Automation (ICRCA)",other,L2_manipulator_actuator_sensor_fdi; L4_structured_chain_graph_dynamics; L_killer_precision,18.5,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Manipulator fault diagnosis, sim-generated data + hybrid NN; weak conference",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
22,doi:10.1109/smartindustrycon61328.2024.10516172,10.1109/smartindustrycon61328.2024.10516172,,Synthesis and Experimental Research of Fault Detection System for Actuators of Robot Manipulator by Technical Vision,Vladimir Filaretov; Alexander Zuev; Alexander Protsenko,2024,2024 International Russian Smart Industry Conference (SmartIndustryCon),other,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,18.416,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Vision-based actuator/sensor fault detection for manipulator; different sensing modality,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
23,doi:10.3389/frobt.2023.1190296,10.3389/frobt.2023.1190296,,Exploiting redundancy for UWB anomaly detection in infrastructure-free multi-robot relative localization,Sahar Salimpour; Paola Torrico Morón; Xianjia Yu; Tomi Westerlund; Jorge Peña-Queralta,2023,Frontiers in Robotics and AI,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,18.168,true,EXCLUDE,WRONG_OBJECT,UWB relative localization anomaly for multi-robot; not manipulator health,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
24,doi:10.1109/access.2022.3210550,10.1109/access.2022.3210550,,Disturbance Observer-Based Force Estimation and Fault Detection for Robotic Manipulator in Radioactive Environments,Huaimin Liu; Xiangjiang Wang; Liuyang Chen,2022,IEEE Access,other,L3_learned_momentum_observer; L5_lie_geometry_equivariant; L6_contact_collision_localization,18.075,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Disturbance-observer external force estimation + force-sensor fault detection on serial arm; L3,L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
25,doi:10.1007/s40747-023-01173-6,10.1007/s40747-023-01173-6,,Computer vision-based hand gesture recognition for human-robot interaction: a review,Jing Qi; Li Ma; Zhenchao Cui; Yushu Yu,2023,Complex & Intelligent Systems,other,L10_cross_robot_few_shot; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal,18.0,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Hand-gesture recognition review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
26,doi:10.1109/access.2021.3107975,10.1109/access.2021.3107975,,"Deep Learning for Anomaly Detection in Time-Series Data: Review, Analysis, and Guidelines",Kukjin Choi; Jihun Yi; Changhwa Park; Sungroh Yoon,2021,IEEE Access,other,L10_cross_robot_few_shot; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal,18.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Time-series DL anomaly detection review; L7 framing background,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
27,doi:10.1109/ojvt.2024.3422253,10.1109/ojvt.2024.3422253,,Deep Learning in the Fast Lane: A Survey on Advanced Intrusion Detection Systems for Intelligent Vehicle Networks,Mohammed Almehdhar; Abdullatif Albaseer; Muhammad Asif Khan; Mohamed Abdallah; Hamid Menouar; Saif Al‐Kuwari; Ala Al‐Fuqaha,2024,IEEE Open Journal of Vehicular Technology,other,L10_cross_robot_few_shot; L5_lie_geometry_equivariant; L7_mtsad_context_ood_sequential; L_killer_precision,18.0,true,EXCLUDE,NOT_ROBOT_DOMAIN,Vehicle-network intrusion detection survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
28,doi:10.1109/tase.2021.3131011,10.1109/tase.2021.3131011,,"Control Techniques for Safe, Ergonomic, and Efficient Human-Robot Collaboration in the Digital Industry: A Survey",Silvia Proia; Raffaele Carli; Graziana Cavone; Mariagrazia Dotoli,2021,IEEE Transactions on Automation Science and Engineering,C,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics; L6_contact_collision_localization,18.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,HRC safety/control survey (TASE); collision-detection section is context,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
29,doi:10.1109/lra.2022.3154040,10.1109/lra.2022.3154040,,Adaptive Center-of-Mass Relocation for Aerial Manipulator Fault Tolerance,Claudio Pose; Juan Giribet; Ignacio Mas,2022,IEEE Robotics and Automation Letters,R,L5_lie_geometry_equivariant; L_killer_precision,17.939,true,EXCLUDE,WRONG_OBJECT,Aerial manipulator motor-failure tolerance via CoM relocation; FTC on aerial platform,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
30,doi:10.1109/lra.2025.3575326,10.1109/lra.2025.3575326,2505.08334v2,Fast Contact Detection Via Fusion of Joint and Inertial Sensors for Parallel Robots in Human-Robot Collaboration,Aran Mohammad; Jan Piosik; Dustin Lehmann; Thomas Seel; Moritz Schappler,2025,IEEE Robotics and Automation Letters,R,L3_learned_momentum_observer; L6_contact_collision_localization,17.659,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,2025 RAL fast contact detection fusing joint+IMU for parallel robots in HRC; proprioceptive contact line,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
31,doi:10.3390/act11070195,10.3390/act11070195,,An Active Fault-Tolerant Control Based on Synchronous Fast Terminal Sliding Mode for a Robot Manipulator,Quang Dan Le; Hee-Jun Kang,2022,Actuators,MDPI,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant; L_killer_precision,17.583,true,EXCLUDE,OFF_TOPIC_OTHER,"Active FTC controller (MDPI Actuators); control synthesis, not detection",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
32,doi:10.1109/access.2021.3099287,10.1109/access.2021.3099287,,Human-Robot Interaction Review: Challenges and Solutions for Modern Industrial Environments,Diego Rodriguez-Guerra; Gorka Sorrosal; Itziar Cabanes; Carlos Calleja,2021,IEEE Access,other,L2_manipulator_actuator_sensor_fdi; L3_learned_momentum_observer; L6_contact_collision_localization,17.5,true,EXCLUDE,SURVEY_TANGENTIAL,HRI industrial review; no method content on FDI,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
33,doi:10.1007/979-8-8688-0008-5_1,10.1007/979-8-8688-0008-5_1,,Introduction to Anomaly Detection,Suman Kalyan Adari; Sridhar Alla,2024,Beginning Anomaly Detection Using Python-Based Deep Learning,other,L4_structured_chain_graph_dynamics; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,17.416,true,EXCLUDE,OFF_TOPIC_OTHER,Textbook chapter on anomaly detection basics,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
34,doi:10.1109/ro-man60168.2024.10731184,10.1109/ro-man60168.2024.10731184,,Learning Anomaly Detection Models for Human-Robot Interaction,Shota Mochizuki; Sanae Yamashita; Reiko Yuasa; Tomonori Kubota; Kohei Ogawa; Ryuichiro Higashinaka,2024,2024 33rd IEEE International Conference on Robot and Human Interactive Communication (ROMAN),other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,17.416,true,EXCLUDE,WRONG_OBJECT,Dialogue HRI anomaly dataset; social robots,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
35,doi:10.1109/tro.2021.3084395,10.1109/tro.2021.3084395,,"Past, Present, and Future of Aerial Robotic Manipulators",Anı́bal Ollero; Marco Tognon; Alejandro Suárez; Dongjun Lee; Antonio Franchi,2021,IEEE Transactions on Robotics,R,L11_active_diagnosis; L4_structured_chain_graph_dynamics; L5_lie_geometry_equivariant,17.0,true,EXCLUDE,SURVEY_TANGENTIAL,Aerial manipulation survey; not fault/anomaly,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
36,doi:10.2172/2204657,10.2172/2204657,,Low Energy LArTPC Signal Detection Using Anomaly Detection,Jovan Mitrevski,2023,Low Energy LArTPC Signal Detection Using Anomaly Detection,other,L4_structured_chain_graph_dynamics; L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L_killer_precision,17.0,true,EXCLUDE,NOT_ROBOT_DOMAIN,Particle-detector signal extraction,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
37,doi:10.1109/iros51168.2021.9636868,10.1109/iros51168.2021.9636868,,Soft Manipulator Fault Detection and Identification Using ANC-based LSTM,Haoyuan Gu; Hanjiang Hu; Hesheng Wang; Weidong Chen,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),R,L2_manipulator_actuator_sensor_fdi; L5_lie_geometry_equivariant,16.748,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Soft-manipulator FDI via LSTM; different mechanism class (no rigid chain), context only",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
38,doi:10.1177/02783649241260428,10.1177/02783649241260428,2402.11221v2,MOB-Net: Limb-modularized uncertainty torque learning of humanoids for sensorless external torque estimation,Daegyu Lim; Myeong-Ju Kim; Junhyeok Cha; Jaeheung Park,2024,The International Journal of Robotics Research,R,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics; L6_contact_collision_localization,16.575,true,INCLUDE_PRIORITY,KILLER_CANDIDATE,MOB-Net (IJRR 2024) limb-modularized uncertainty torque learning; contract-listed killer paper,L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
39,doi:10.1109/access.2024.3363657,10.1109/access.2024.3363657,,"Security Considerations in AI-Robotics: A Survey of Current Methods, Challenges, and Opportunities",Subash Neupane; Shaswata Mitra; Ivan Fernandez; Swayamjit Saha; Sudip Mittal; Jingdao Chen; Nisha Pillai; Shahram Rahimi,2024,IEEE Access,other,L2_manipulator_actuator_sensor_fdi; L8_public_benchmarks_transfer; L9_foundation_multimodal,16.393,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,AI-robotics security survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
40,doi:10.1007/s10207-021-00545-8,10.1007/s10207-021-00545-8,,"Robotics cyber security: vulnerabilities, attacks, countermeasures, and recommendations",Jean-Paul A. Yaacoub; Hassan Noura; Ola Salman; Ali Chehab,2021,International Journal of Information Security,other,L10_cross_robot_few_shot; L8_public_benchmarks_transfer; L9_foundation_multimodal,16.0,false,EXCLUDE,NOT_ROBOT_DOMAIN,"Robotics cybersecurity review; attack surface, not physical fault detection",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
41,doi:10.1109/hdis56859.2022.9991376,10.1109/hdis56859.2022.9991376,,Robot Manipulator Disturbance Observation and Servo-Fault Diagnosis without Speed Sensor,Shaoxun Liu; Xue Xia; Shiyu Zhou; Zhihua Niu; Rongrong Wang,2022,2022 International Conference on High Performance Big Data and Intelligent Systems (HDIS),other,L2_manipulator_actuator_sensor_fdi; L_killer_precision,15.966,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,SMO-based disturbance observation + servo fault diagnosis with position-only sensing; weak conference,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
42,doi:10.1007/s40435-025-01746-y,10.1007/s40435-025-01746-y,,Fault diagnosis for variable-period multi-interconnected flexible manipulator systems,Jianxiang Zhang; Yu Song; Yanli Gan,2025,International Journal of Dynamics and Control,other,L2_manipulator_actuator_sensor_fdi; L_killer_precision,15.916,false,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Flexible interconnected manipulator FD; weak venue, no abstract",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
43,doi:10.1038/s41598-022-22171-7,10.1038/s41598-022-22171-7,,Deep residual neural-network-based robot joint fault diagnosis method,Jinghui Pan; Lili Qu; Kaixiang Peng,2022,Scientific Reports,other,L4_structured_chain_graph_dynamics; L_killer_precision,15.855,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,"Supervised DRNN joint fault diagnosis (gain/offset/malfunction, sensors+actuators); paradigm contrast for L2",L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
44,doi:10.1109/icra48891.2023.10161173,10.1109/icra48891.2023.10161173,,Proprioceptive Sensor-Based Simultaneous Multi-Contact Point Localization and Force Identification for Robotic Arms,Seo Wook Han; Min Jun Kim,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),R,L6_contact_collision_localization; L_killer_precision,15.668,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,Proprioceptive multi-contact localization + force identification (ICRA23); direct L6 neighbor,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
45,doi:10.1109/asyu62119.2024.10757097,10.1109/asyu62119.2024.10757097,,Siber Fiziksel Robot Kolunda Makine Öğrenmesi Bazlı Optimizasyon ve Anomali Tespiti Machine Learning Based Optimization and Anomaly Detection in a Cyber-Physical Robot Arm,Figen Özen,2024,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),other,L8_public_benchmarks_transfer; L_killer_precision,15.659,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"PSO feature selection + Extra Trees AD on robot arm; weak venue, feature-selection study",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
46,doi:10.1016/j.cja.2021.04.022,10.1016/j.cja.2021.04.022,,A review on fault-tolerant cooperative control of multiple unmanned aerial vehicles,Ziquan Yu; Youmin Zhang; Bin Jiang; Jun Fu; Ying Jin,2021,Chinese Journal of Aeronautics,other,L11_active_diagnosis; L4_structured_chain_graph_dynamics; L6_contact_collision_localization,15.5,true,EXCLUDE,WRONG_OBJECT,Multi-UAV fault-tolerant cooperative control review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
47,doi:10.3390/app13042304,10.3390/app13042304,,Robots in Inspection and Monitoring of Buildings and Infrastructure: A Systematic Review,Srijeet Halder; Kereshmeh Afsari,2023,Applied Sciences,MDPI,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer; L9_foundation_multimodal,15.5,true,EXCLUDE,SURVEY_TANGENTIAL,Robotic building inspection review (MDPI),,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
48,doi:10.2139/ssrn.4206497,10.2139/ssrn.4206497,,Neural Networks for Robot Collision Estimation and Detection,Abdel-Nasser Sharkawy,2022,,other,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics; L7_mtsad_context_ood_sequential,15.416,false,EXCLUDE,METADATA_TOO_THIN,"SSRN stub, no abstract/venue; on-topic title would resurface via citation chains if real",,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
